Order,Category,Subcategory,Style,Brand,Product,Rating,IB,Release,ABV,Age,Interpolated Date,Chang,Canal's Mt. Ephraim,Cask Strength Society,FWGS,Kreston,Mawl's & Seelbach's,PWS,Redstone,Roger Wilco Pennsauken,SJBD 1,SJBD 2,Somerville Super Saver,?,Distillery 1,Distillery 2,Distillery 3,Distillery 4,Distillery 5,Distillery 6,Distillery 7,Distillery 8,Distillery 9
1,Flavored,Canadian,Cinnamon,Fireball,,0.5,,,,,8/23/2014,,,,,,,,,,,,,,,,,,,,,,
2,Scotch,Blended Scotch,,Johnnie Walker,Red Label,2.5,,,,,12/29/2014,,,,,,,,,,,,,,,,,,,,,,
3,Flavored,American,Honey,Jack Daniel's,Tennessee Honey,1,,,,,1/31/2015,,,,,,,,,,,,,,,,,,,,,,
4,American,Tennessee,Budget,Jack Daniel's,Old No. 7,2.5,,,,,8/27/2015,,,,,,,,,,,,,,,,,,,,,,
5,Bourbon,,Wheat,Maker's Mark,,3,,,,,9/4/2015,,,,,,,,,,,,,,,,,,,,,,
6,Irish,Blended,,Bushmills,,,,,,,9/25/2015,,,,,,,,,,,,,,,,,,,,,,
7,American,Blended,Budget,Seagrams,7 Crown,1,,,,,11/14/2015,,,,,,,,,,,,,,,,,,,,,,
8,Scotch,Speyside,Malt,Balvenie,15,,,,,15,12/15/2015,,,,,,,,,,,,,,,,,,,,,,
9,Bourbon,,Budget,Wild Turkey,101,4,,,,,1/30/2016,,,,,,,,,,,,,,,,,,,,,,
10,Scotch,Blended Scotch,,Dewar's,White Label,2,,,,,1/30/2016,,,,,,,,,,,,,,,,,,,,,,
11,Bourbon,,,Knob Creek,,3.5,,,,9,1/30/2016,,,,,,,,,,,,,,,,,,,,,,
12,Scotch,Speyside,Fruit,Glenfiddich,12,3,,,,12,2/1/2016,,,,,,,,,,,,,,,,,,,,,,
13,Bourbon,,Budget,Wild Turkey,81,3,,,,,2/26/2016,,,,,,,,,,,,,,,,,,,,,,
14,Scotch,Speyside,Fruit,Glenlivet,12,2.5,,,,12,3/5/2016,,,,,,,,,,,,,,,,,,,,,,
15,Scotch,Blended Scotch,,Johnnie Walker,Explorers' Club,,,,,,3/14/2016,,,,,,,,,,,,,,,,,,,,,,
16,Flavored,Canadian,Apple,Crown Royal,Apple,2.5,,,,,3/14/2016,,,,,,,,,,,,,,,,,,,,,,
17,Bourbon,,Budget,Jim Beam,White Label,1.5,,,,,3/24/2016,,,,,,,,,,,,,,,,,,,,,,
18,Flavored,Bourbon,Apple,Jim Beam,Apple,2.5,,,,,3/24/2016,,,,,,,,,,,,,,,,,,,,,,
19,Scotch,Speyside,Fruit,Glen Grant,10,2.5,,,,10,3/24/2016,,,,,,,,,,,,,,,,,,,,,,
20,Bourbon,,,Basil Hayden's,,2.5,,,,,3/24/2016,,,,,,,,,,,,,,,,,,,,,,
21,Irish,Blended,,Jameson,,1.5,,,,,3/24/2016,,,,,,,,,,,,,,,,,,,,,,
22,Scotch,Highland,Malt,Glenmorangie,10 Original,3.5,,,,10,3/24/2016,,,,,,,,,,,,,,,,,,,,,,
23,Bourbon,New Jersey,Budget,Banker's Club,,1.5,,,,,4/16/2016,,,,,,,,,,,,,,,,,,,,,,
